Polling Firm,Commissioners,Fieldwork Start,Fieldwork End,Scope,Sample Size,Sample Size Qualification,Participation,Precision,GERB,GERB—SDS,BSPzB,OP,VMRO,NFSB,Ataka,ABV,DPS,Volya,RB,DB,DSB,Da!,ITN,IBG-NI,Vazrazhdane,RzB,NFSB+Volya,BP,PP,BV,PP–DB,Levitsata!,NDSV,Other
Exacta,,2019-02-19,2019-02-28,European,1000,Provided,Not Available,0.1%,35.1%,Not Available,29.0%,9.6%,Not Available,Not Available,Not Available,1.5%,10.3%,1.5%,Not Available,3.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.3%
Маркет ЛИНКС,,2019-02-15,2019-02-25,European,1018,Provided,Not Available,0.1%,36.2%,Not Available,29.7%,7.5%,Not Available,Not Available,Not Available,Not Available,8.3%,2.5%,Not Available,6.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.2%
Тренд,24 часа,2019-02-05,2019-02-13,European,1007,Provided,Not Available,0.1%,33.6%,Not Available,31.2%,6.8%,Not Available,Not Available,Not Available,Not Available,11.7%,2.7%,Not Available,4.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.9%
Sova Harris,,2019-01-19,2019-01-21,European,985,Provided,Not Available,0.1%,36.2%,Not Available,31.4%,9.1%,Not Available,Not Available,Not Available,1.3%,9.1%,2.8%,Not Available,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.0%
Маркет ЛИНКС,,2019-01-12,2019-01-21,European,1007,Provided,Not Available,0.1%,37.9%,Not Available,27.1%,8.5%,Not Available,Not Available,Not Available,Not Available,10.0%,1.3%,Not Available,6.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,8.7%
AFIS,,2019-01-14,2019-01-19,European,1010,Provided,Not Available,0.1%,32.9%,Not Available,34.6%,4.7%,Not Available,Not Available,Not Available,Not Available,11.0%,1.4%,2%,1.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12.0%
Тренд,24 часа,2019-01-10,2019-01-17,European,1008,Provided,Not Available,1%,36%,Not Available,34%,7%,Not Available,Not Available,Not Available,Not Available,14%,3%,Not Available,4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Алфа рисърч,Дневник,2018-12-14,2018-12-18,European,1027,Provided,Not Available,1%,33%,Not Available,31%,6%,Not Available,Not Available,Not Available,Not Available,11%,4%,Not Available,6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Exacta,,2018-12-10,2018-12-17,National,1000,Provided,66.0%,0.1%,35.6%,Not Available,31.5%,5.8%,Not Available,Not Available,Not Available,1.5%,7.7%,1.5%,1.5%,3.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.6%
Тренд,24 часа,2018-11-30,2018-12-06,National,1007,Provided,61.5%,0.1%,36.1%,Not Available,33.7%,7.2%,Not Available,Not Available,Not Available,Not Available,10.6%,2.3%,1.6%,3.4%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.2%
Маркет ЛИНКС,,2018-11-16,2018-11-25,National,1005,Provided,41.0%,0.1%,32.8%,Not Available,30.7%,4.5%,Not Available,Not Available,Not Available,Not Available,8.9%,2.1%,Not Available,6.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15.0%
Тренд,24 часа,2018-11-06,2018-11-12,National,1004,Provided,59.8%,0.1%,35.5%,Not Available,33.3%,7.0%,Not Available,Not Available,Not Available,Not Available,10.9%,2.3%,1.8%,3.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.0%
Маркет ЛИНКС,,2018-06-23,2018-10-28,National,1065,Provided,55.8%,0.1%,36.4%,Not Available,30.3%,7.5%,Not Available,Not Available,Not Available,Not Available,7.3%,1.8%,Not Available,5.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10.9%
Маркет ЛИНКС,,2018-10-15,2018-10-24,National,1032,Provided,56.8%,0.1%,34.2%,Not Available,30.5%,7.4%,Not Available,Not Available,Not Available,Not Available,7.9%,1.4%,Not Available,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,13.2%
Тренд,24 часа,2018-10-01,2018-10-09,National,1006,Provided,61.4%,0.1%,36.5%,Not Available,32.4%,9.0%,Not Available,Not Available,Not Available,Not Available,10.9%,2.8%,1.6%,3.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.7%
Exacta,,2018-09-28,2018-10-05,National,1000,Provided,65.8%,0.1%,36.0%,Not Available,30.5%,8.4%,Not Available,Not Available,Not Available,1.7%,9.3%,1.8%,1.5%,3.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
Алфа рисърч,Дневник,2018-09-23,2018-09-30,National,1027,Provided,63.4%,0.1%,35.0%,Not Available,31.1%,7.4%,Not Available,Not Available,Not Available,Not Available,10.4%,3.2%,Not Available,4.6%,Not Available,Not Available,Not Available,Not Available,0.8%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.6%
Sova Harris,БГНЕС,2018-09-08,2018-09-14,National,1000,Provided,59.1%,0.1%,40.8%,Not Available,33.8%,8.0%,Not Available,Not Available,Not Available,0.7%,10.5%,1.4%,Not Available,2.5%,0.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.0%
Тренд,24 часа,2018-09-04,2018-09-11,National,1006,Provided,63.1%,0.1%,36.3%,Not Available,31.2%,9.0%,Not Available,Not Available,Not Available,Not Available,10.1%,2.4%,2.1%,3.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.4%
Тренд,24 часа,2018-08-01,2018-08-10,National,1006,Provided,63.0%,0.1%,37.1%,Not Available,31.9%,8.9%,Not Available,Not Available,Not Available,Not Available,9.2%,2.2%,1.9%,3.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.4%
Тренд,24 часа,2018-07-01,2018-07-08,National,1007,Provided,63.0%,0.1%,37.4%,Not Available,30.5%,8.6%,Not Available,Not Available,Not Available,Not Available,8.8%,2.4%,1.7%,3.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.8%
Медиана,,2018-07-01,2018-07-06,National,1008,Provided,77.7%,0.1%,31.9%,Not Available,26.4%,12.5%,Not Available,Not Available,Not Available,2.4%,10.7%,2.7%,1.8%,2.1%,0.5%,Not Available,6.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3.1%
Алфа рисърч,Дневник,2018-06-17,2018-06-25,National,1017,Provided,65.4%,0.1%,37.5%,Not Available,30.7%,7.6%,Not Available,Not Available,Not Available,Not Available,7.5%,3.4%,Not Available,3.4%,Not Available,Not Available,Not Available,Not Available,0.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.3%
Тренд,24 часа,2018-06-01,2018-06-09,National,1008,Provided,63.0%,0.1%,36.7%,Not Available,31.4%,8.7%,Not Available,Not Available,Not Available,Not Available,10.5%,3.0%,1.9%,3.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.4%
Тренд,24 часа,2018-05-02,2018-05-10,National,1009,Provided,61.5%,0.1%,37.1%,Not Available,31.1%,8.6%,Not Available,Not Available,Not Available,Not Available,10.4%,2.8%,2.1%,3.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.2%
Тренд,24 часа,2018-03-01,2018-03-07,National,1004,Provided,60.4%,0.1%,34.9%,Not Available,30.5%,8.4%,Not Available,Not Available,Not Available,Not Available,10.9%,2.6%,2.6%,Not Available,1.7%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.8%
Тренд,24 часа,2018-02-01,2018-02-08,National,1004,Provided,59.8%,0.1%,34.6%,Not Available,30.4%,8.7%,Not Available,Not Available,Not Available,Not Available,10.7%,2.5%,2.0%,Not Available,1.7%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.9%
Тренд,24 часа,2018-01-10,2018-01-18,National,1002,Provided,60.9%,0.1%,35.8%,Not Available,30.0%,8.7%,Not Available,Not Available,Not Available,Not Available,10.0%,2.6%,3.1%,Not Available,1.6%,2.6%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.4%
Exacta,,2017-12-07,2017-12-13,National,1000,Provided,67.5%,0.1%,41.3%,Not Available,30.7%,9.0%,Not Available,Not Available,Not Available,Not Available,8.4%,2.7%,2.1%,Not Available,1.9%,1.0%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2.8%
Тренд,24 часа,2017-12-01,2017-12-10,National,1003,Provided,60.6%,0.1%,36.6%,Not Available,29.7%,8.6%,Not Available,Not Available,Not Available,Not Available,9.9%,2.6%,3.1%,Not Available,1.8%,2.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.1%
Маркет ЛИНКС,,2017-11-24,2017-12-04,National,1058,Provided,58.6%,0.1%,37.7%,Not Available,28.8%,6.5%,Not Available,Not Available,Not Available,Not Available,6.3%,2.7%,Not Available,Not Available,3.6%,5.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.0%
Тренд,24 часа,2017-11-03,2017-11-12,National,1005,Provided,60.6%,0.1%,33.7%,Not Available,28.3%,8.6%,Not Available,Not Available,Not Available,Not Available,10.0%,2.9%,2.9%,Not Available,1.7%,2.2%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9.7%
Маркет ЛИНКС,,2017-10-06,2017-10-16,National,1017,Provided,57.7%,0.1%,35.9%,Not Available,30.0%,7.3%,Not Available,Not Available,Not Available,1.7%,5.7%,5.7%,2.3%,Not Available,2.1%,5.5%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,4.0%
Тренд,24 часа,2017-03-10,2017-03-16,National,1004,Provided,67.0%,0.1%,29.8%,Not Available,27.9%,10.2%,Not Available,Not Available,Not Available,2.6%,8.7%,7.3%,3.8%,Not Available,2.3%,2.1%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,5.3%
Тренд,24 часа,2017-02-02,2017-02-09,National,1002,Provided,61.0%,0.1%,29.7%,Not Available,28.7%,9.9%,Not Available,Not Available,Not Available,2.0%,9.0%,6.5%,3.4%,Not Available,2.0%,2.3%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6.5%
Тренд,,2017-01-10,2017-01-17,National,1002,Provided,Not Available,0.1%,32.2%,Not Available,29.3%,10.4%,Not Available,Not Available,Not Available,1.0%,7.8%,5.9%,3.7%,Not Available,1.2%,0.7%,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7.8%
